username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017-11-07 20:56;87;48;"-"2 labradors qui m'accostent comme ca dans un parc et qui viennent sentir mes fesses impossible de tourner la page # balancetonporc" hop c tweeté pic.twitter.com/6zODMWuenX";;;#;"927988156712013827";https://twitter.com/SatanasDiabolox/status/927988156712013827
;2017-11-07 20:55;0;0;"pour porter plainte grâce à la campagne # balancetonporc.";;;#;"927988005264150530";https://twitter.com/PascaleBerrie/status/927988005264150530
;2017-11-07 20:54;1236;564;"Et pour elle, qui va s'indigner ? # BalanceTonPorc # RacismeAntiBlanc pic.twitter.com/K0o4mLxGMO";;;# #;"927987726422626305";https://twitter.com/DamienRieu/status/927987726422626305
;2017-11-07 20:53;2;1;"Sur # BalanceTonPorc apres alors j'ai couper la conversation et j'ai dis bonne soirée, dommage elle avait l'air coopérative";;;#;"927987509493198848";https://twitter.com/Abdelzoldyck/status/927987509493198848
;2017-11-07 20:50;0;0;"le cochon a déjà été fait dans # balancetonporc";;;#;"927986536074932225";https://twitter.com/GameOfTroll/status/927986536074932225
;2017-11-07 20:48;1;3;"et un con comme ça est milliardaire # balancetonporc";;;#;"927986145094520833";https://twitter.com/LaCopineDeBuzz/status/927986145094520833
;2017-11-07 20:47;1;0;"Harvey # Weinstein’s Army of # Spies https://www.newyorker.com/news/news-desk/harvey-weinsteins-army-of-spies … # balancetonporc";;;# # #;"927985834023931906";https://twitter.com/GerardDupin/status/927985834023931906
;2017-11-07 20:47;0;1;"Il me mentionne, il m'harcele, me fait des avances déguisés... Cet hurluberlu d'école de commerce : romy # balancetonporc";;;#;"927985765883301890";https://twitter.com/EastChill/status/927985765883301890
;2017-11-07 20:46;0;0;"# BalanceTonPorc https://twitter.com/Henda_Ayari/status/927973804638375936 …";;;#;"927985535108382726";https://twitter.com/kglvr/status/927985535108382726
;2017-11-07 20:41;0;2;"vous mfaites bien rire avec vos # balancetonporc mais quand on parle d’Ed Westwick ça parle de présomption d’innocence, vos têtes vides là";;;#;"927984385416187905";https://twitter.com/maryamekmh/status/927984385416187905
;2017-11-07 20:40;1;6;"Euhh ok.. # balancetonporc https://twitter.com/robin_desoomer/status/927983551999500288 …";;;#;"927984201894322176";https://twitter.com/nath_lvy/status/927984201894322176
;2017-11-07 20:39;0;4;"# balancetonporc @ FloDupuisWeb";;@;#;"927983873048371200";https://twitter.com/PtiteRapporteuZ/status/927983873048371200
;2017-11-07 20:35;0;0;"Vérifie elle ta pas mis sur # balancetonporc mdr";;;#;"927982908714946560";https://twitter.com/someooooone_/status/927982908714946560
;2017-11-07 20:31;0;0;"Touche Pas a Mon Pedophile # BalanceTonPorc (KILLUMINATY SMG) https://youtu.be/LSuZF_J28A4 via @ YouTube";;@;#;"927981760306085889";https://twitter.com/1calculable/status/927981760306085889
;2017-11-07 20:24;0;0;"Je ne sort plus de chez moi! Pas envie de me faire accusé de viole pour un regard # balancetonporc";;;#;"927980004696260608";https://twitter.com/YozerLio/status/927980004696260608
;2017-11-07 20:23;0;0;"# balancetonporc c'est pourtant ça Viol agression harcèlement et autres donc je ne vois comprends pas";;;#;"927979860231905287";https://twitter.com/szazez/status/927979860231905287
;2017-11-07 20:22;0;0;"# balancetonporc https://twitter.com/trustmyscience/status/927972248157392896 …";;;#;"927979635899543552";https://twitter.com/MauvaisCoton/status/927979635899543552
;2017-11-07 20:21;0;1;"Les gens qui accusent # BalanceTonPorc de faire de la délation, apprenez à faire la différence entre délation et dénonciation.Merci d'avance.";;;#;"927979270160261121";https://twitter.com/Pandofury/status/927979270160261121
;2017-11-07 20:20;2;5;"Love this! We should all adopt this. Instead of calling ourselves victims call out the pigs! # balancetonporc";;;#;"927979188631502848";https://twitter.com/AndreaPunksmom/status/927979188631502848
;2017-11-07 20:20;0;0;"@ PierreMenes je t ai souvent défendu quand on parlait mal 2toi mais de là dire des choses ...cris de singe pour evra.. # balancetonporc";;@;#;"927979173007757313";https://twitter.com/spqr13500/status/927979173007757313
;2017-11-07 20:20;0;0;"Réponse des hommes blancs français : On vous emmerde # denoncetonporc # denoncetatruie # balancetonporc # Metoohttps://twitter.com/Big_Bro_Franc/status/927978852646825985 …";;;# # # #;"927979018707759104";https://twitter.com/Big_Bro_Franc/status/927979018707759104
;2017-11-07 20:20;0;1;"Il vous a insulté réagissez !! # BalanceTonPorc # LGBT # Feminismo";;;# # #;"927978999564963842";https://twitter.com/20DEMB/status/927978999564963842
;2017-11-07 20:20;0;0;"je n'ai pas compris et pas du tout aimé déjà le film jap ni le film us ... Faut rétablir la guillotine . Martine # balancetonporc netlix";;;#;"927978974277447680";https://twitter.com/Coach2_sport/status/927978974277447680
;2017-11-07 20:19;0;0;"La France d'aujourd'hui condamne l'homme blanc français pour des délire qui datent. # denoncetonporc # denoncetatruie # balancetonporc # Metoo";;;# # # #;"927978852646825985";https://twitter.com/Big_Bro_Franc/status/927978852646825985
;2017-11-07 20:19;0;1;"En matière de prédateurs sexuels, la réalité dépasse la fiction. # balancetonporc https://twitter.com/RonanFarrow/status/927680764115898371 …";;;#;"927978796745220096";https://twitter.com/grrrrroseille/status/927978796745220096
;2017-11-07 20:18;1;0;"Patrick Wouters de Seraing. Justifiant les # viols d'enfant et raciste à ses heures. # Racisme # balancetonporc # Pédophiliepic.twitter.com/oLGVJ04yoT";;;# # # #;"927978643422351363";https://twitter.com/RacistesBelges/status/927978643422351363
;2017-11-07 20:17;0;0;"Les LGBTQUACK nous emmerde avec des situations incompréhensibles. # denoncetonporc # denoncetatruie # balancetonporc # Metoo";;;# # # #;"927978444557778945";https://twitter.com/Big_Bro_Franc/status/927978444557778945
;2017-11-07 20:17;0;0;"Donc vous êtes contre le # balancetonporc qui faisait exactement la même chose";;;#;"927978365218377728";https://twitter.com/szazez/status/927978365218377728
;2017-11-07 20:16;0;0;"Les femmes nous emmerdes avec leur sexisme parce qu'elle l'ont subit. # denoncetonporc # denoncetatruie # balancetonporc # Metoo";;;# # # #;"927978194560483330";https://twitter.com/Big_Bro_Franc/status/927978194560483330
;2017-11-07 20:16;0;0;"Les étrangers nous emmerdes avec leur racisme parce qu'ils l'ont subit. # denoncetonporc # denoncetatruie # balancetonporc # Metoohttps://twitter.com/Big_Bro_Franc/status/927977914859126786 …";;;# # # #;"927978071864594434";https://twitter.com/Big_Bro_Franc/status/927978071864594434
